  Time (Seconds) , FPS , Current Stage 
1,,Scanning Environment
2,  60,Scanning Environment
3,  59,Scanning Environment
4,  60,Scanning Environment
5,  60,Vuforia Tracking
6,  58,Vuforia Tracking
7,  61,Vuforia Tracking
8,  59,Vuforia Tracking
9,  53,Vuforia Tracking
10,  59,Vuforia Tracking
11,  60,Vuforia Tracking
12,  55,Vuforia Tracking
13,  57,Vuforia Tracking
14,  61,Robot Stabilized
15,  51,Robot Stabilized
16,  64,Robot Stabilized
17,  60,Robot Stabilized
18,  45,Robot Stabilized
19,  61,Robot Stabilized
20,  60,Robot Stabilized
21,  59,Robot Stabilized
22,  59,Robot Stabilized
23,  60,Start planning path
24,  58,Start planning path
25,  59,Start planning path
26,  60,Start planning path
27,  52,Start planning path
28,  59,Start planning path
29,  59,Start planning path
30,  60,Start planning path
31,  61,Start planning path
32,  62,Start planning path
33,  61,Start planning path
34,  59,Start planning path
35,  61,Start planning path
36,  60,Start planning path
37,  59,Start planning path
38,  62,Start planning path
39,  62,Start planning path
40,  61,Start planning path
41,  61,Start planning path
42,  51,Start planning path
43,  62,Start planning path
44,  60,Start planning path
45,  60,Start planning path
46,  60,Start planning path
47,  61,Start planning path
48,  59,Start planning path
49,  61,Start planning path
50,  60,Start planning path
51,  60,Start planning path
52,  56,Start planning path
53,  52,Start planning path
54,  62,Start planning path
55,  60,Start planning path
56,  59,Start planning path
57,  60,Start planning path
58,  60,Start planning path
59,  61,Start planning path
60,  63,Start planning path
61,  60,Start planning path
62,  58,Start planning path
63,  60,Start planning path
64,  60,Start planning path
65,  59,Start planning path
66,  59,Start planning path
67,  60,Start planning path
68,  53,Start planning path
69,  60,Start planning path
70,  59,Start planning path
71,  60,Start planning path
72,  58,Start planning path
73,  60,Start planning path
74,  62,Start planning path
75,  59,Start planning path
76,  61,Start planning path
77,  60,Start planning path
78,  59,Start planning path
79,  60,Start planning path
80,  57,Start planning path
81,  60,Start planning path
82,  60,Start planning path
83,  61,Start planning path
84,  60,Start planning path
85,  60,Start planning path
86,  59,Start planning path
87,  61,Start planning path
88,  60,Start planning path
89,  60,Start planning path
90,  60,Start planning path
91,  60,Start planning path
92,  62,Start planning path
93,  59,Start planning path
94,  59,Start planning path
95,  60,Start planning path
96,  45,Start planning path
97,  48,Start planning path
98,  46,Start planning path
99,  38,Start planning path
100,  42,Start planning path
101,  42,Start planning path
102,  43,Start planning path
103,  43,Start planning path
104,  51,Start planning path
105,  45,Start planning path
106,  46,Start planning path
107,  54,Start planning path
108,  45,Start planning path
109,  53,Start planning path
110,  52,Path end reached
111,  47,Path end reached
112,  49,Path end reached
113,  42,Start executing path
114,  46,Start executing path
115,  46,Start executing path
116,  52,Start executing path
117,  46,Start executing path
118,  45,Start executing path
119,  45,Start executing path
120,  42,Start executing path
121,  41,Start executing path
122,  46,Start executing path
123,  45,Start executing path
124,  36,Start executing path
125,  44,Start executing path
126,  37,Start executing path
127,  39,Path end reached
128,  40,Path end reached
129,  42,Path end reached
130,  39,Path end reached
131,  42,Path end reached
132,  43,Path end reached
133,  43,Path end reached
134,  42,Path end reached
135,  43,Path end reached
136,  44,Path end reached
137,  42,Path end reached
138,  43,Path end reached
139,  45,Path end reached
140,  46,Path end reached
141,  44,Path end reached
142,  43,Path end reached
143,  46,Path end reached
144,  44,Path end reached
145,  46,Path end reached
146,  46,Path end reached
147,  46,Path end reached
148,  45,Path end reached
149,  43,Path end reached
150,  42,Path end reached
151,  41,Path end reached
152,  44,Path end reached
153,  46,Path end reached
154,  46,Path end reached
155,  43,Path end reached
156,  45,Path end reached
157,  43,Path end reached
158,  45,Path end reached
159,  45,Path end reached
160,  45,Path end reached
161,  52,Path end reached
162,  47,Path end reached
163,  46,Path end reached
164,  45,Path end reached
165,  44,Path end reached
166,  46,Path end reached
167,  46,Path end reached
168,  42,Path end reached
169,  44,Path end reached
170,  44,Path end reached
171,  39,Path end reached
172,  41,Path end reached
173,  52,Path end reached
174,  46,Path end reached
175,  45,Path end reached
176,  44,Path end reached
177,  41,Path end reached
178,  53,Path end reached
179,  41,Path end reached
180,  55,Path end reached
181,  50,Path end reached
182,  53,Path end reached
183,  54,Path end reached
184,  51,Path end reached
185,  51,Path end reached
186,  62,Path end reached
187,  44,Reset Environment
188,  61,Start planning path
189,  59,Start planning path
190,  61,Start planning path
191,  58,Start planning path
192,  63,Start planning path
193,  59,Start planning path
194,  59,Start planning path
195,  59,Start planning path
196,  60,Start planning path
197,  61,Start planning path
198,  61,Start planning path
199,  61,Start planning path
200,  60,Start planning path
201,  61,Start planning path
202,  60,Start planning path
203,  60,Start planning path
204,  59,Start planning path
205,  60,Start planning path
206,  61,Start planning path
207,  59,Start planning path
208,  59,Start planning path
209,  59,Start planning path
210,  56,Start planning path
211,  59,Start planning path
212,  59,Start planning path
213,  61,Start planning path
214,  60,Start planning path
215,  59,Start planning path
216,  58,Start planning path
217,  59,Start planning path
218,  62,Start planning path
219,  59,Start planning path
220,  60,Start planning path
221,  58,Start planning path
222,  61,Start planning path
223,  60,Start planning path
224,  60,Start planning path
225,  61,Start planning path
226,  58,Start planning path
227,  50,Start planning path
228,  50,Start planning path
229,  60,Start planning path
230,  62,Start planning path
231,  61,Start planning path
232,  50,Start planning path
233,  53,Start planning path
234,  60,Start planning path
235,  60,Start planning path
236,  58,Start planning path
237,  60,Start planning path
238,  61,Start planning path
239,  59,Start planning path
240,  59,Start planning path
241,  60,Start planning path
242,  64,Start planning path
243,  60,Start planning path
244,  59,Start planning path
245,  62,Start planning path
246,  43,Start planning path
247,  59,Start planning path
248,  60,Start planning path
249,  59,Start planning path
250,  59,Start planning path
251,  61,Start planning path
252,  61,Start planning path
253,  66,Start planning path
254,  60,Start planning path
255,  60,Start planning path
256,  60,Start planning path
257,  49,Start planning path
258,  62,Start planning path
259,  60,Start planning path
260,  51,Start planning path
261,  42,Start planning path
262,  43,Start planning path
263,  45,Start planning path
264,  45,Start planning path
265,  44,Start planning path
266,  41,Start planning path
267,  36,Start planning path
268,  54,Start planning path
269,  50,Start planning path
270,  43,Start planning path
271,  45,Start planning path
272,  43,Start planning path
273,  52,Start planning path
274,  52,Start planning path
275,  51,Start planning path
276,  42,Start planning path
277,  52,Start planning path
278,  50,Start planning path
279,  46,Start planning path
280,  56,Start executing path
281,  57,Start executing path
282,  61,Start executing path
283,  44,Start executing path
284,  53,Start executing path
285,  42,Start executing path
286,  54,Start executing path
287,  39,Start executing path
288,  42,Start executing path
289,  43,Start executing path
290,  45,Start executing path
291,  44,Start executing path
292,  46,Start executing path
293,  49,Start executing path
294,  44,Start executing path
295,  44,Start executing path
296,  42,Start executing path
297,  54,Path end reached
298,  41,Path end reached
299,  42,Path end reached
300,  45,Path end reached
301,  43,Path end reached
302,  46,Path end reached
303,  46,Path end reached
304,  38,Path end reached
305,  46,Path end reached
306,  44,Path end reached
307,  38,Path end reached
308,  46,Path end reached
309,  42,Path end reached
310,  39,Path end reached
311,  44,Path end reached
312,  46,Path end reached
313,  46,Path end reached
314,  53,Path end reached
315,  47,Path end reached
316,  53,Path end reached
317,  42,Path end reached
318,  50,Path end reached
319,  49,Path end reached
320,  49,Path end reached
321,  43,Path end reached
322,  50,Path end reached
323,  49,Path end reached
324,  50,Path end reached
325,  53,Path end reached
326,  44,Path end reached
327,  42,Path end reached
328,  43,Path end reached
329,  54,Path end reached
330,  45,Path end reached
331,  42,Path end reached
332,  42,Path end reached
333,  48,Path end reached
334,  46,Path end reached
335,  55,Path end reached
336,  54,Path end reached
337,  49,Path end reached
338,  43,Path end reached
339,  50,Path end reached
340,  41,Path end reached
341,  50,Path end reached
342,  54,Path end reached
343,  50,Path end reached
344,  39,Path end reached
345,  41,Path end reached
346,  43,Path end reached
347,  38,Path end reached
348,  49,Path end reached
349,  41,Path end reached
350,  49,Path end reached
351,  46,Path end reached
352,  52,Path end reached
353,  40,Path end reached
354,  56,Path end reached
355,  44,Path end reached
356,  39,Path end reached
357,  41,Path end reached
358,  49,Path end reached
359,  48,Path end reached
360,  50,Path end reached
361,  54,Path end reached
362,  38,Path end reached
363,  39,Path end reached
364,  44,Path end reached
365,  51,Path end reached
366,  38,Path end reached
367,  46,Path end reached
368,  47,Path end reached
369,  44,Path end reached
370,  44,Path end reached
371,  39,Path end reached
372,  50,Path end reached
373,  44,Path end reached
374,  49,Path end reached
375,  55,Path end reached
376,  52,Path end reached
377,  56,Path end reached
378,  27,Path end reached
379,  54,Path end reached
380,  52,Path end reached
381,  51,Path end reached
382,  50,Path end reached
383,  45,Path end reached
384,  54,Path end reached
385,  43,Path end reached
386,  51,Path end reached
387,  44,Path end reached
388,  50,Path end reached
389,  50,Path end reached
390,  47,Path end reached
391,  50,Path end reached
392,  49,Path end reached
393,  40,Path end reached
394,  39,Path end reached
395,  48,Reset Environment
396,  52,Reset Environment
397,  61,Start planning path
398,  59,Start planning path
399,  61,Start planning path
400,  59,Start planning path
401,  62,Start planning path
402,  59,Start planning path
403,  60,Start planning path
404,  59,Start planning path
405,  60,Start planning path
406,  60,Start planning path
407,  59,Start planning path
408,  57,Start planning path
409,  60,Start planning path
410,  61,Start planning path
411,  58,Start planning path
412,  60,Start planning path
413,  58,Start planning path
414,  58,Start planning path
415,  58,Start planning path
416,  61,Start planning path
417,  58,Start planning path
418,  60,Start planning path
419,  60,Start planning path
420,  59,Start planning path
421,  59,Start planning path
422,  56,Start planning path
423,  60,Start planning path
424,  60,Start planning path
425,  60,Start planning path
426,  60,Start planning path
427,  60,Start planning path
428,  60,Start planning path
429,  59,Start planning path
430,  59,Start planning path
431,  59,Start planning path
432,  51,Start planning path
433,  60,Start planning path
434,  61,Start planning path
435,  60,Start planning path
436,  58,Start planning path
437,  60,Start planning path
438,  59,Start planning path
439,  60,Start planning path
440,  60,Start planning path
441,  60,Start planning path
442,  60,Start planning path
443,  60,Start planning path
444,  62,Start planning path
445,  61,Start planning path
446,  60,Start planning path
447,  61,Start planning path
448,  59,Start planning path
449,  60,Start planning path
450,  59,Start planning path
451,  60,Start planning path
452,  61,Start planning path
453,  52,Start planning path
454,  49,Start planning path
455,  60,Start planning path
456,  61,Start planning path
457,  63,Start planning path
458,  59,Start planning path
459,  59,Start planning path
460,  48,Start planning path
461,  45,Start planning path
462,  42,Start planning path
463,  41,Start planning path
464,  50,Start planning path
465,  40,Start planning path
466,  54,Start planning path
467,  48,Start planning path
468,  43,Start planning path
469,  43,Start planning path
470,  45,Start planning path
471,  44,Start planning path
472,  45,Start planning path
473,  44,Start planning path
474,  41,Start planning path
475,  43,Path end reached
476,  45,Path end reached
477,  43,Start executing path
478,  53,Start executing path
479,  43,Start executing path
480,  39,Start executing path
481,  46,Start executing path
482,  46,Start executing path
483,  45,Start executing path
484,  37,Start executing path
485,  42,Start executing path
486,  52,Start executing path
487,  56,Start executing path
488,  52,Start executing path
489,  40,Start executing path
490,  52,Start executing path
491,  45,Start executing path
492,  46,Start executing path
493,  45,Path end reached
494,  46,Path end reached
495,  43,Path end reached
496,  45,Path end reached
497,  45,Path end reached
498,  45,Path end reached
499,  44,Path end reached
500,  45,Path end reached
501,  52,Path end reached
502,  45,Path end reached
503,  45,Path end reached
504,  54,Path end reached
505,  38,Path end reached
506,  44,Path end reached
507,  41,Path end reached
508,  43,Path end reached
509,  39,Path end reached
510,  53,Path end reached
511,  46,Path end reached
512,  42,Path end reached
513,  50,Path end reached
514,  49,Path end reached
515,  54,Path end reached
516,  55,Path end reached
517,  48,Path end reached
518,  49,Path end reached
519,  56,Path end reached
520,  52,Path end reached
521,  45,Path end reached
522,  45,Path end reached
523,  54,Path end reached
524,  46,Path end reached
525,  44,Path end reached
526,  50,Path end reached
527,  53,Path end reached
528,  44,Path end reached
529,  45,Path end reached
530,  47,Path end reached
531,  39,Path end reached
532,  44,Path end reached
533,  39,Path end reached
534,  53,Path end reached
535,  48,Path end reached
536,  42,Path end reached
537,  53,Path end reached
538,  44,Path end reached
539,  53,Path end reached
540,  51,Path end reached
541,  45,Path end reached
542,  44,Path end reached
543,  53,Path end reached
544,  42,Path end reached
545,  42,Path end reached
546,  44,Path end reached
547,  44,Path end reached
548,  53,Path end reached
549,  52,Path end reached
550,  50,Path end reached
551,  43,Path end reached
552,  54,Path end reached
553,  41,Path end reached
554,  49,Path end reached
555,  51,Path end reached
556,  50,Path end reached
557,  61,Path end reached
558,  53,Path end reached
559,  53,Reset Environment
560,  64,Start planning path
561,  61,Start planning path
562,  51,Start planning path
563,  60,Start planning path
564,  61,Start planning path
565,  60,Start planning path
566,  61,Start planning path
567,  60,Start planning path
568,  62,Start planning path
569,  60,Start planning path
570,  60,Start planning path
571,  60,Start planning path
572,  58,Start planning path
573,  60,Start planning path
574,  60,Start planning path
575,  58,Start planning path
576,  60,Start planning path
577,  60,Start planning path
578,  60,Start planning path
579,  61,Start planning path
580,  59,Start planning path
581,  60,Start planning path
582,  58,Start planning path
583,  62,Start planning path
584,  60,Start planning path
585,  61,Start planning path
586,  61,Start planning path
587,  58,Start planning path
588,  60,Start planning path
589,  59,Start planning path
590,  61,Start planning path
591,  60,Start planning path
592,  60,Start planning path
593,  61,Start planning path
594,  59,Start planning path
595,  61,Start planning path
596,  61,Start planning path
597,  61,Start planning path
598,  61,Start planning path
599,  39,Start planning path
600,  50,Start planning path
601,  59,Start planning path
602,  62,Start planning path
603,  61,Start planning path
604,  60,Start planning path
605,  61,Start planning path
606,  59,Start planning path
607,  60,Start planning path
608,  61,Start planning path
609,  52,Start planning path
610,  48,Start planning path
611,  61,Start planning path
612,  60,Start planning path
613,  60,Start planning path
614,  61,Start planning path
615,  60,Start planning path
616,  60,Start planning path
617,  59,Start planning path
618,  60,Start planning path
619,  60,Start planning path
620,  59,Start planning path
621,  60,Start planning path
622,  60,Start planning path
623,  59,Start planning path
624,  61,Start planning path
625,  61,Start planning path
626,  54,Start planning path
627,  62,Start planning path
628,  60,Start planning path
629,  60,Start planning path
630,  62,Start planning path
631,  56,Start planning path
632,  59,Start planning path
633,  44,Start planning path
634,  40,Start planning path
635,  42,Start planning path
636,  51,Start planning path
637,  45,Start planning path
638,  45,Start planning path
639,  40,Start planning path
640,  39,Start planning path
641,  50,Start planning path
642,  44,Start planning path
643,  52,Start planning path
644,  42,Start planning path
645,  53,Start planning path
646,  42,Start planning path
647,  53,Start planning path
648,  44,Start planning path
649,  52,Start planning path
650,  42,Start planning path
651,  53,Start executing path
652,  53,Start executing path
653,  53,Start executing path
654,  38,Start executing path
655,  43,Start executing path
656,  54,Start executing path
657,  46,Start executing path
658,  51,Start executing path
659,  58,Start executing path
660,  50,Start executing path
661,  53,Start executing path
662,  56,Start executing path
663,  46,Start executing path
664,  46,Start executing path
665,  46,Start executing path
666,  45,Start executing path
667,  41,Start executing path
668,  51,Path end reached
669,  44,Path end reached
670,  46,Path end reached
671,  39,Path end reached
672,  46,Path end reached
673,  42,Path end reached
674,  38,Path end reached
675,  53,Path end reached
676,  39,Path end reached
677,  44,Path end reached
678,  39,Path end reached
679,  53,Path end reached
680,  43,Path end reached
681,  46,Path end reached
682,  52,Path end reached
683,  54,Path end reached
684,  54,Path end reached
685,  43,Path end reached
686,  48,Path end reached
687,  51,Path end reached
688,  49,Path end reached
689,  54,Path end reached
690,  41,Path end reached
691,  45,Path end reached
692,  54,Path end reached
693,  50,Path end reached
694,  51,Path end reached
695,  53,Path end reached
696,  44,Path end reached
697,  50,Path end reached
698,  53,Path end reached
699,  39,Path end reached
700,  44,Path end reached
701,  54,Path end reached
702,  52,Path end reached
703,  52,Path end reached
704,  51,Path end reached
705,  51,Path end reached
706,  50,Path end reached
707,  51,Path end reached
708,  53,Path end reached
709,  52,Path end reached
710,  52,Path end reached
711,  54,Path end reached
712,  53,Path end reached
713,  44,Path end reached
714,  50,Path end reached
715,  53,Path end reached
716,  42,Path end reached
717,  44,Path end reached
718,  46,Path end reached
719,  55,Path end reached
720,  45,Path end reached
721,  46,Path end reached
722,  54,Path end reached
723,  45,Path end reached
724,  41,Path end reached
725,  41,Path end reached
726,  41,Path end reached
727,  51,Path end reached
728,  60,Path end reached
729,  59,Path end reached
730,  61,Reset Environment
731,  52,Start planning path
732,  62,Start planning path
733,  60,Start planning path
734,  63,Start planning path
735,  61,Start planning path
736,  61,Start planning path
737,  60,Start planning path
738,  59,Start planning path
739,  58,Start planning path
740,  60,Start planning path
741,  59,Start planning path
742,  61,Start planning path
743,  58,Start planning path
744,  59,Start planning path
745,  60,Start planning path
746,  60,Start planning path
747,  58,Start planning path
748,  58,Start planning path
749,  58,Start planning path
750,  59,Start planning path
751,  62,Start planning path
752,  61,Start planning path
753,  59,Start planning path
754,  62,Start planning path
755,  58,Start planning path
756,  55,Start planning path
757,  59,Start planning path
758,  60,Start planning path
759,  61,Start planning path
760,  59,Start planning path
761,  62,Start planning path
762,  62,Start planning path
763,  60,Start planning path
764,  60,Start planning path
765,  57,Start planning path
766,  60,Start planning path
767,  63,Start planning path
768,  59,Start planning path
769,  60,Start planning path
770,  60,Start planning path
771,  50,Start planning path
772,  60,Start planning path
773,  58,Start planning path
774,  60,Start planning path
775,  59,Start planning path
776,  63,Start planning path
777,  60,Start planning path
778,  59,Start planning path
779,  59,Start planning path
780,  61,Start planning path
781,  59,Start planning path
782,  56,Start planning path
783,  60,Start planning path
784,  60,Start planning path
785,  61,Start planning path
786,  58,Start planning path
787,  60,Start planning path
788,  59,Start planning path
789,  60,Start planning path
790,  60,Start planning path
791,  65,Start planning path
792,  49,Start planning path
793,  43,Start planning path
794,  43,Start planning path
795,  58,Start planning path
796,  48,Start planning path
797,  47,Start planning path
798,  42,Start planning path
799,  52,Start planning path
800,  45,Start planning path
801,  51,Start planning path
802,  49,Start planning path
803,  50,Start planning path
804,  54,Start planning path
805,  41,Start planning path
806,  41,Start planning path
807,  55,Start planning path
808,  53,Start planning path
809,  42,Path end reached
810,  49,Path end reached
811,  50,Start executing path
812,  40,Start executing path
813,  42,Start executing path
814,  45,Start executing path
815,  45,Start executing path
816,  42,Start executing path
817,  41,Start executing path
818,  42,Start executing path
819,  46,Start executing path
820,  39,Start executing path
821,  39,Start executing path
822,  45,Start executing path
823,  41,Start executing path
824,  50,Start executing path
825,  40,Start executing path
826,  44,Start executing path
827,  55,Start executing path
828,  52,Start executing path
829,  45,Path end reached
830,  44,Path end reached
831,  45,Path end reached
832,  41,Path end reached
833,  43,Path end reached
834,  44,Path end reached
835,  38,Path end reached
836,  50,Path end reached
837,  38,Path end reached
838,  49,Path end reached
839,  42,Path end reached
840,  44,Path end reached
841,  44,Path end reached
842,  38,Path end reached
843,  52,Path end reached
844,  45,Path end reached
845,  44,Path end reached
846,  45,Path end reached
847,  54,Path end reached
848,  42,Path end reached
849,  41,Path end reached
850,  54,Path end reached
851,  51,Path end reached
852,  41,Path end reached
853,  64,Path end reached
854,  42,Path end reached
855,  39,Path end reached
856,  43,Path end reached
857,  47,Path end reached
858,  56,Path end reached
859,  40,Path end reached
860,  44,Path end reached
861,  39,Path end reached
862,  43,Path end reached
863,  42,Path end reached
864,  43,Path end reached
865,  44,Path end reached
866,  42,Path end reached
867,  51,Path end reached
868,  42,Path end reached
869,  44,Path end reached
870,  45,Path end reached
871,  46,Path end reached
872,  44,Path end reached
873,  39,Path end reached
874,  44,Path end reached
875,  53,Path end reached
876,  54,Path end reached
877,  53,Path end reached
878,  46,Path end reached
879,  42,Path end reached
880,  55,Path end reached
881,  46,Path end reached
882,  41,Path end reached
883,  51,Path end reached
884,  41,Path end reached
885,  41,Path end reached
886,  40,Path end reached
887,  48,Path end reached
888,  41,Path end reached
889,  51,Path end reached
890,  53,Path end reached
891,  52,Path end reached
892,  52,Path end reached
893,  53,Path end reached
894,  44,Path end reached
895,  44,Path end reached
896,  46,Path end reached
897,  41,Path end reached
898,  42,Path end reached
